date,title,amount
2025-06-30,Lahude,16.41
2025-06-29,Lahude,20.35
2025-06-29,Dimed Sa Distribuido,72.99
2025-06-25,Raia3422 - Parcela 1/3,55.39
2025-06-25,Surdinas Car - Parcela 1/4,272.50
2025-06-25,Shein *Shein.Com,142.19
2025-06-24,Uber* Trip,21.95
2025-06-24,Amazon,32.98
2025-06-22,Centervatti - Rodrigo - Parcela 1/10,522.61
2025-06-22,Lyon Park,15.00
2025-06-22,Bourbon Wallig,36.36
2025-06-22,Sigapay,4.50
2025-06-22,Amazon Ad Free For Pri,10.00
2025-06-21,Carrefour Poa,57.30
2025-06-20,Lahude,13.86
2025-06-19,Pkr Comercio de Alimen,9.90
2025-06-18,Kiwify *Cv - Parcela 1/3,37.12
2025-06-17,Pg *Nio Fibra,109.90
2025-06-17,Pkr Comercio de Alimen,2.99
2025-06-16,Farmacia Sao Joao,80.59
2025-06-15,Sigapay,2.25
2025-06-14,Zaffari Boulevard,10.48
2025-06-13,Lahude,16.85
2025-06-12,Raia3422,14.37
2025-06-12,Farmacia Sao Joao,14.90
2025-06-12,Amazonprimebr,166.80
2025-06-12,Osorno Comercio A Vare,50.00
2025-06-11,Conta Vivo,160.00
2025-06-11,Conta Vivo,80.00
2025-06-10,Lyon Park,15.00
2025-06-10,Clinica de Vacinas Mdc - Parcela 1/6,268.85
2025-06-08,Panvel Farmacias,19.99
2025-06-08,Bourbon Ipiranga | 80 reais amor,118.29
2025-06-08,Lojas Renner Fl - Parcela 1/2,54.90
2025-06-08,Pampa Burguer Ipiranga,121.00
2025-06-08,Villaggio Ipiranga,12.27
2025-06-08,Myloversbijoux,29.99
2025-06-07,Farmacia Sao Joao,13.32
2025-06-07,Farmacia Sao Joao - Parcela 1/4,20.02
2025-06-07,Carrefour Poa,49.58
2025-06-06,Pagamento recebido,-4309.45
2025-06-06,Uber Uber *Trip Help.U,24.91
2025-06-05,Belshop Perfumaria e C amor - Parcela 1/2,55.10
2025-06-05,Cestto Protasio metade amor - Parcela 1/3,98.60
2025-06-05,Dl *Google Google One,96.99
2025-06-03,Mercadolivre*2produtos,79.00
2025-06-03,Mercadolivre*2produtos - Parcela 1/5,33.58
2025-06-02,Carrefour Alegre,80.00
2025-06-01,Colchoes Ortobom Rs |  Sr. Volmar - Parcela 9/12,408.33
2025-06-01,Panvel Matriz - Parcela 4/5,67.74
2025-06-01,Pg *Ifc Motorola Motor - Parcela 8/12,298.00
2025-06-01,Multiplos Esportes - Parcela 4/6,66.66
2025-06-01,Dimed Sa Distribuido - Parcela 2/3,61.49
2025-06-01,Mercadolivre*5produto - Parcela 2/10,79.90
2025-06-01,Aquila Natacao - Parcela 7/12,159.85
2025-06-01,Hna*Oboticario - Parcela 2/2,79.02
2025-06-01,Farmacia Sao Joao - Parcela 2/2,56.94
2025-06-01,Raia4003 - Parcela 2/2,63.22
2025-06-01,Mercadolivre*Haphome brandon - Parcela 4/10,94.99
2025-06-01,Farmacia Sao Joao - Parcela 2/2,49.99
2025-06-01,M e S Perfumes e Prese - Parcela 2/3,63.33
2025-06-01,Sigapay,6.75
2025-06-01,Produtos Globo - Parcela 3/10,35.88
2025-06-01,Amazonmktplc*Cedroscon brandon - Parcela 2/8,166.26
2025-06-01,Amazon - Parcela 2/2,34.81
